Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2014-11-19,68.98993,67.86576,69.07429,69.266716,67.443344,68.563705,68.58057,69.23833,70.21414,69.19565,70.833,62.746
2014-11-20,69.67877,68.787,70.01859,69.99483,67.217094,69.539665,69.73175,69.874596,70.86109,69.81822,71.023,62.939
2014-11-21,70.1905,68.752,70.114,70.45889,68.589554,69.71444,70.54383,70.56912,71.275314,70.1627,71.22,63.105
2014-11-22,70.13556,69.77172,70.88426,70.912346,69.902565,70.268875,71.016785,70.8352,71.92718,70.441536,71.348,63.27
2014-11-23,70.67012,69.28948,71.21098,71.43206,70.56279,70.5326,71.32362,70.962036,72.32531,71.594986,71.397,63.442
2014-11-24,71.31008,70.63747,72.12262,71.97915,70.56055,71.65094,71.90498,71.16605,72.83167,71.80392,71.396,63.599
2014-11-25,71.255,70.70013,71.64951,72.16777,70.69706,71.34708,71.782616,71.2608,72.6548,71.63188,71.357,63.749
2014-11-26,70.81672,71.16955,71.566505,71.65395,70.598885,71.78013,71.33737,70.71538,72.3841,71.30348,71.311,63.891
2014-11-27,70.170944,70.49447,70.35995,71.33503,70.92922,70.96972,71.12244,70.27869,71.4745,70.52627,71.28,64.019
2014-11-28,69.436874,70.85761,70.047485,70.72563,70.043884,71.45854,70.73201,69.578545,71.05308,70.50968,71.236,64.139
2014-11-29,69.1796,69.96529,69.65153,69.821304,69.88551,70.39899,70.97546,69.51697,70.60668,70.83108,71.108,64.256
2014-11-30,69.0072,70.55812,70.0146,70.03564,69.987946,70.82692,71.76809,69.65822,71.48328,71.175446,70.84,64.381
2014-12-01,68.72799,69.953674,69.93446,69.78766,70.89759,69.88805,71.645836,69.76792,70.853485,70.58228,70.466,64.509
2014-12-02,68.441925,69.87088,69.9752,69.76934,71.06793,70.60995,71.30574,69.70148,71.17982,71.05786,70.096,64.62
2014-12-03,68.187996,68.2114,69.31386,69.242485,70.74306,69.635445,71.37899,69.29772,70.81987,70.80198,69.804,64.696
2014-12-04,68.22681,68.48501,69.65301,69.26665,70.8082,70.6257,71.01826,69.30052,71.05552,70.86015,69.631,64.753
2014-12-05,69.274574,68.94063,70.464264,69.46085,70.90026,71.22362,71.572845,69.285614,71.075584,71.08469,69.584,64.843
2014-12-06,69.52518,69.81706,71.23912,70.43842,71.00253,72.35109,71.27977,69.56761,72.04688,71.97293,69.626,64.958
2014-12-07,70.027466,70.24601,71.58918,70.57607,71.22467,71.91966,71.64444,69.81044,72.22087,71.94783,69.707,65.066
2014-12-08,70.326416,71.31894,72.15429,71.71447,71.642044,72.82182,71.89228,70.69566,73.318756,72.782196,69.744,65.203
2014-12-09,71.03866,71.16514,72.59295,71.63672,72.31934,72.90268,72.91262,71.219536,73.401245,72.67298,69.624,65.34
2014-12-10,70.9105,71.62023,72.487076,72.10615,72.817055,72.8445,73.15165,71.86599,73.42523,73.110596,69.239,65.493
2014-12-11,71.23729,71.614235,72.80151,72.14202,73.721825,72.834625,74.4942,72.344635,74.0082,73.29863,68.509,65.685
2014-12-12,71.63784,72.71767,73.72456,73.38591,75.08836,73.85023,75.0908,73.49355,74.85039,74.390076,67.412,65.862
2014-12-13,72.63489,73.62343,74.82049,74.32149,76.26266,74.92114,76.41827,74.46765,75.71876,74.89765,65.988,66.029
2014-12-14,71.41249,73.19097,73.43741,72.37598,76.19685,74.3569,76.22112,73.57068,74.452095,74.485306,64.422,66.185
2014-12-15,66.781685,65.80337,67.997475,67.29449,71.722435,66.00305,72.780914,69.00548,70.03335,68.5757,63.027,65.8
2014-12-16,63.08979,62.58352,63.56751,62.452793,67.049,62.5433,66.883736,63.70219,65.06705,64.56108,62.135,65.141
2014-12-17,60.62031,59.70132,61.126434,59.86865,63.632786,59.430676,62.18377,61.476017,61.267452,61.24828,61.989,64.529
2014-12-18,58.69467,58.94873,59.303883,57.819565,62.067535,57.747814,59.690056,59.56369,58.53371,59.29173,62.53,63.913
2014-12-19,59.437534,59.4787,59.70108,58.441776,61.297512,58.787567,58.422306,60.754604,59.49597,59.6202,63.497,63.656
2014-12-20,60.85043,61.852364,61.41664,59.63471,63.522495,59.97261,58.733627,62.71498,61.117825,62.055435,64.635,63.573
2014-12-21,62.430237,63.497124,63.576973,60.863247,65.17491,61.526924,60.621937,64.02383,63.05899,63.501354,65.671,63.481
