Y,M,D,h,m,s,Hs,Tp,Dir
1979,1,31,6,0,0,0.869,9.848,55.844
1979,1,31,9,0,0,0.843,9.788,55.764
1979,1,31,12,0,0,0.813,9.735,55.712
1979,1,31,15,0,0,0.79,9.688,55.73
1979,1,31,18,0,0,0.792,9.649,55.729
1979,1,31,21,0,0,0.817,9.605,55.699
1979,2,1,0,0,0,0.825,9.574,55.711
1979,2,1,3,0,0,0.814,9.539,55.707
1979,2,1,6,0,0,0.811,9.49,55.644
1979,2,1,9,0,0,0.812,9.431,55.483
1979,2,1,12,0,0,0.841,9.354,55.043
1979,2,1,15,0,0,0.872,9.241,54.389
1979,2,1,18,0,0,0.971,9.04,54.708
1979,2,1,21,0,0,1.063,8.886,54.568
1979,2,2,0,0,0,1.117,8.851,54.861
1979,2,2,3,0,0,1.172,8.993,55.475
1979,2,2,6,0,0,1.198,9.149,56.108
1979,2,2,9,0,0,1.206,9.249,56.131
1979,2,2,12,0,0,1.203,9.303,57.05
1979,2,2,15,0,0,1.187,9.359,57.964
1979,2,2,18,0,0,1.176,9.443,58.907
1979,2,2,21,0,0,1.172,9.535,59.694
1979,2,3,0,0,0,1.171,9.598,60.445
1979,2,3,3,0,0,1.172,9.612,61.086
1979,2,3,6,0,0,1.152,9.581,61.594
1979,2,3,9,0,0,1.108,9.516,61.909
1979,2,3,12,0,0,1.087,9.424,62.089
1979,2,3,15,0,0,1.094,9.295,62.102
1979,2,3,18,0,0,1.239,8.966,63.012
1979,2,3,21,0,0,1.605,8.23,61.28
1979,2,4,0,0,0,1.753,8.327,61.219
1979,2,4,3,0,0,1.916,8.624,59.569
1979,2,4,6,0,0,2.213,8.911,59.269
1979,2,4,9,0,0,2.563,9.053,58.515
1979,2,4,12,0,0,2.799,9.137,57.521
1979,2,4,15,0,0,2.77,13.513,43.763
1979,2,4,18,0,0,2.625,13.873,42.348
1979,2,4,21,0,0,2.447,13.459,42.636
1979,2,5,0,0,0,2.19,12.682,41.948
1979,2,5,3,0,0,1.99,12.246,41.959
1979,2,5,6,0,0,1.858,11.684,41.74
1979,2,5,9,0,0,1.734,11.34,41.727
1979,2,5,12,0,0,1.629,11.14,41.856
1979,2,5,15,0,0,1.552,10.759,42.418
1979,2,5,18,0,0,1.489,10.381,42.404
1979,2,5,21,0,0,1.417,10.142,42.546
1979,2,6,0,0,0,1.348,9.821,44.063
1979,2,6,3,0,0,1.284,9.611,43.878
1979,2,6,6,0,0,1.22,9.455,43.83
1979,2,6,9,0,0,1.157,9.317,43.92
1979,2,6,12,0,0,1.098,9.161,44.748
1979,2,6,15,0,0,1.048,9.02,44.855
1979,2,6,18,0,0,1.013,8.933,45.17
1979,2,6,21,0,0,0.989,8.886,45.774
1979,2,7,0,0,0,0.968,9.269,46.865
1979,2,7,3,0,0,0.951,12.19,47.682
1979,2,7,6,0,0,0.935,12.01,48.277
1979,2,7,9,0,0,0.921,11.793,47.66
1979,2,7,12,0,0,0.912,11.627,47.701
1979,2,7,15,0,0,0.898,11.478,48.386
1979,2,7,18,0,0,0.888,11.176,49.547
1979,2,7,21,0,0,0.891,11.107,48.989
1979,2,8,0,0,0,0.95,10.949,50.153
1979,2,8,3,0,0,0.962,10.868,51.565
